#{"t_start": 1682102231.7842994, "env_id": null}
r,l,t
-103.93456,49,7.0502
-117.908053,27,7.07001
-60.876469,10,7.077874
-102.520503,17,7.09039
-100.788117,10,7.098371
-100.295566,19,7.114167
-102.367613,10,7.121541
-60.771449,54,7.158163
-101.290862,68,7.204331
-32.758541,151,7.367373
-60.273683,12,7.376353
-107.153261,29,7.397209
-61.301378,10,7.405085
-101.920503,14,7.415126
-116.483091,49,7.449922
-63.493585,37,7.476589
-103.144647,16,7.488104
-60.839368,19,7.501549
-78.208402,43,7.531573
-120.393794,38,7.55944
-139.033832,88,7.622528
-67.905205,31,7.644221
-63.845522,10,7.651591
-130.313769,66,7.698098
-93.239984,45,7.729538
-90.63199,70,7.778548
-108.668526,37,7.804483
-112.533974,26,7.826926
-105.670146,13,7.850791
-112.943533,42,7.884089
-61.518884,12,7.894933
-125.830251,88,7.955171
-102.288365,60,7.996467
-66.229108,27,8.015446
-124.761937,75,8.069449
-82.380061,36,8.095265
-121.142452,29,8.116939
-98.081123,11,8.12502
-71.468388,35,8.149186
-190.558285,119,8.233422
-61.707976,15,8.244494
-135.707218,50,8.279308
-91.410039,26,8.297286
-119.179337,81,8.351235
-114.85456,38,8.376537
-100.90071,22,8.39165
-87.391292,46,8.422105
-61.774761,13,8.431379
-60.510099,11,8.438925
-62.90589,34,8.461977
-80.76953,51,8.495836
-110.070888,22,8.510672
-106.404988,21,8.524589
-68.918829,27,8.542851
-106.144292,14,8.552696
-138.88348,52,8.590517
-65.167071,28,8.609451
-78.173412,67,8.653696
-81.003734,36,8.677808
-64.361178,21,8.691929
-90.004663,12,8.700303
-103.213134,12,8.708598
-58.033345,21,8.72278
-163.837054,98,8.849056
-105.016289,61,8.891181
-69.679065,47,8.923819
-116.529123,63,8.966634
-119.891297,44,8.996993
-62.341868,17,9.008965
-102.070892,10,9.01612
-102.330454,13,9.025259
-62.611429,12,9.033541
-85.888874,55,9.070402
-69.858441,64,9.113405
-119.061183,33,9.135647
-61.071185,13,9.144833
-97.405881,99,9.214509
-58.071047,10,9.222269
-87.192315,54,9.261488
-101.539273,15,9.272757
-117.092023,32,9.296629
-103.196537,15,9.308069
-82.304666,57,9.352943
-64.251222,13,9.362621
-84.772736,66,9.410684
-110.457619,26,9.429629
-123.355721,62,9.473654
-100.330601,10,9.480826
-102.86149,21,9.49555
-23.211193,151,9.598586
-64.07623,28,9.619335
-64.784801,12,9.628081
-102.249293,14,9.63805
-109.76855,36,9.662795
-61.126509,10,9.669979
-111.098245,38,9.696409
-101.832292,11,9.70424
-62.845433,22,9.719509
-64.686802,14,9.729383
-141.790098,51,9.763741
-78.114812,83,9.820142
-102.282838,15,9.83089
-65.210408,19,9.844445
-102.885725,18,9.857191
-103.486545,20,9.871492
-74.558813,57,9.911531
-68.781119,19,9.925222
-60.21284,11,9.93346
-113.828552,44,9.963825
-122.70001,57,10.003163
-81.348429,52,10.03933
-75.027698,30,10.062184
-133.371414,115,10.139601
-38.024572,70,10.187155
-143.64778,102,10.308537
-61.231011,10,10.316557
-103.145243,10,10.324141
-104.322766,30,10.345666
-73.78734,65,10.390109
-109.632356,26,10.408484
-69.380197,30,10.4296
-110.116419,25,10.447545
-64.044072,10,10.455063
-75.133387,50,10.490572
-41.038266,48,10.524316
-51.79184,12,10.533316
-101.900558,20,10.547475
-104.121928,60,10.588235
-101.820381,23,10.603925
-88.371882,64,10.6466
-58.098889,11,10.654223
-110.63792,23,10.669916
-104.187682,21,10.684322
-113.213916,35,10.707837
-103.351438,17,10.719606
-62.303841,29,10.739076
-109.502438,38,10.764631
-103.815436,11,10.772365
-115.120953,46,10.806525
-108.895297,47,10.837873
-104.706232,42,10.866058
-115.048567,35,10.889197
-60.628761,10,10.896391
-111.719684,113,10.971792
-109.18677,63,11.014103
-63.766841,17,11.025522
-101.888142,11,11.033443
-53.92382,69,11.079116
-115.376457,28,11.098282
-103.947939,17,11.109949
-89.067451,99,11.175673
-106.524821,13,11.185043
-136.841856,75,11.235301
-65.814452,20,11.249054
-61.123426,14,11.25852
-109.748641,19,11.271435
-54.434474,53,11.306677
-72.912984,41,11.334155
-89.127261,49,11.367156
-98.150889,114,11.441992
-112.581609,29,11.464049
-61.863456,14,11.473658
-115.221639,42,11.50185
-107.445245,18,11.514155
-121.576261,50,11.547431
-83.000021,44,11.576425
-63.166066,12,11.584983
-63.713054,19,11.598097
-60.088192,13,11.606917
-119.315268,43,11.635645
-64.321425,25,11.65213
-76.290911,49,11.736589
-88.04775,101,11.804545
-120.647818,54,11.840991
-107.329338,39,11.867322
-100.91387,11,11.874929
-127.094699,39,11.901132
-120.938164,48,11.933239
-68.502346,21,11.947437
-100.528709,20,11.961417
-57.727189,121,12.043166
-66.063908,15,12.053922
-114.435206,59,12.093585
-76.756327,42,12.12217
-72.246886,46,12.153251
-51.725773,31,12.174249
-94.247299,33,12.199025
-67.646687,22,12.214097
-73.3907,93,12.275422
-84.970881,56,12.313282
-129.836894,91,12.373767
-63.148834,53,12.410306
-88.880854,73,12.459255
-64.907452,24,12.475453
-103.888376,17,12.487261
-61.014945,13,12.496512
-105.899504,21,12.510881
-112.281828,116,12.588297
-76.24918,64,12.631562
-107.579338,23,12.647146
-113.978936,48,12.679113
-105.576219,16,12.689886
-67.780338,41,12.717237
-90.900714,62,12.758048
-80.190479,59,12.797662
-102.628192,11,12.805429
-89.483116,60,12.845579
-87.971747,46,12.878922
-62.955534,41,12.90615
-102.584736,17,12.917937
-68.785798,30,12.937894
-63.802859,12,12.946445
-62.370492,12,12.954885
-62.978443,27,12.973316
-60.880197,10,12.980796
-61.645288,27,12.999322
-70.269467,58,13.038963
-62.640404,18,13.052029
-71.965058,29,13.072352
-80.994983,46,13.105031
-78.026934,151,13.268562
-113.567456,45,13.298969
-103.744889,24,13.31534
-74.265291,45,13.345384
-70.56841,33,13.367746
-115.754764,81,13.421929
-60.958925,12,13.430411
-107.434639,24,13.446927
-100.333186,82,13.501904
-103.162347,34,13.525016
-62.697077,14,13.534863
-103.457461,18,13.547366
-70.088154,41,13.575104
-39.868102,151,13.681095
-100.422919,15,13.691835
-64.937909,37,13.718045
-31.667915,53,13.755002
-62.070669,12,13.764176
-46.183162,63,13.808959
-106.41773,18,13.822295
