#{"t_start": 1681927915.74368, "env_id": null}
r,l,t
-129.907602,32,57.101748
-131.302763,100,57.199399
-106.643419,111,57.891864
-130.31936,25,58.440688
-102.96269,133,59.108216
-121.651993,95,59.206333
-101.227607,126,59.883042
-105.152094,176,60.63241
-0.551115,201,61.330627
-3.02221,201,62.067762
10.60812,201,62.754019
-130.890735,186,63.543246
-120.080324,109,64.073906
-12.340242,201,64.771994
3.85415,201,65.510182
-5.450167,201,66.179712
0.335654,201,66.944226
-132.912124,35,66.977623
-44.612315,97,67.390697
-138.930353,68,67.850364
-129.801829,13,67.863611
-132.09699,51,67.911989
-115.90096,50,67.959299
-130.908464,15,68.3015
-136.01574,68,68.365931
-118.672355,52,68.414973
-118.990935,121,68.906741
-131.773783,57,69.564491
-133.151457,45,69.610718
-115.816222,76,69.97289
-130.849925,20,69.992378
-132.477884,75,70.479366
-139.142229,86,70.560352
-122.546497,45,71.031496
-143.207071,117,71.141364
-133.221306,86,71.778144
-121.478881,12,71.790227
-133.665242,101,72.318156
-137.408141,51,72.366416
-131.38878,38,72.786093
-125.882983,103,73.335451
-134.673034,95,73.42426
-129.332095,29,73.452059
-127.054227,77,74.034573
-138.885843,102,74.539041
-131.945146,133,75.080339
-132.775821,67,75.144126
-130.381167,109,75.633415
-62.594854,23,75.655498
-115.266578,127,76.246555
-129.816468,81,76.851618
-123.147084,99,77.324008
-123.713169,99,77.82725
-131.980696,22,77.848895
-124.643499,104,78.39209
-9.079791,201,79.117765
-144.635503,94,79.662456
-130.634272,50,79.709998
-130.495464,36,80.083448
-129.806155,32,80.114343
-130.728042,40,80.153031
-128.913565,45,80.466713
-130.917185,16,80.482468
-124.520558,85,80.562395
28.140433,201,81.289226
-134.324787,35,81.322856
-117.10694,59,81.687632
-129.810355,86,81.768822
-133.15322,76,82.301792
-129.798247,81,82.760168
2.260074,201,83.54309
-122.425609,36,83.577516
-132.945306,76,84.054104
-131.169298,110,84.546673
-123.543233,50,84.610413
-123.765284,53,84.973771
-136.968174,80,85.049764
-131.782701,67,85.511887
-133.603083,41,85.550734
-127.556609,77,85.927661
-132.101705,29,85.955171
-128.273923,56,86.008231
-131.279881,76,86.422038
-136.12459,159,86.971001
-136.817943,103,87.520889
-133.540812,119,88.021365
-141.119629,54,88.073416
-130.908766,27,88.447914
-135.316364,61,88.505391
-132.346494,36,88.539651
-129.401356,54,88.931195
-139.904839,73,88.999737
-129.366404,78,89.468388
8.221241,201,90.106261
-138.524696,76,90.272998
-134.332085,41,90.311809
-126.740734,43,90.761009
-127.932468,100,91.302432
-132.259207,38,91.338613
-128.144252,34,91.371298
-132.569746,56,91.725521
-133.311922,30,91.754559
-126.305171,126,92.365993
-128.712916,84,92.446774
-132.334179,55,92.944376
-132.083893,20,92.963823
-128.479838,55,93.016759
-129.85647,46,93.397678
-102.583282,102,93.950505
-131.277739,35,93.984155
-134.597847,99,94.513404
-133.516489,41,94.55216
-136.244969,50,94.599452
-135.382266,81,94.988295
-130.602631,60,95.04527
-124.643616,124,95.544613
-126.115106,142,96.258865
-128.916361,145,96.943576
-133.470785,43,96.98525
-121.967948,82,97.477226
-119.334718,89,97.573008
-116.368197,104,98.145827
-64.189703,18,98.163667
-127.982433,83,98.69969
-133.243643,55,98.752252
-135.507719,53,99.147223
-135.060045,86,99.228618
-127.681499,60,99.717151
-65.886129,18,99.734779
-130.978056,122,100.201096
-128.763396,56,100.253703
-134.625117,80,100.705149
-122.883384,38,100.741583
-132.675168,26,101.189223
-135.028824,42,101.23408
18.619923,201,101.878629
-144.656369,77,102.517737
-135.1244,84,103.092827
-114.129179,75,103.163814
-131.536058,34,103.644459
-134.109898,55,103.696361
-132.193965,20,103.715836
-120.203176,76,104.109627
-52.856914,107,104.697886
-135.447932,55,104.755278
-123.568335,76,105.240741
-123.127174,48,105.290794
-124.069619,138,105.83679
-130.315974,46,105.882386
-129.277296,88,106.37318
-136.947222,73,106.930025
-112.187439,62,106.992301
-132.985093,31,107.023626
-124.89024,96,107.492272
-136.430194,105,108.025671
-131.279758,54,108.078699
-64.093046,18,108.484951
-127.398629,50,108.532288
-129.137952,25,108.556329
-117.529563,107,108.985856
-133.103634,56,109.03876
-139.812141,120,109.556054
-6.909503,201,110.39714
-135.627375,96,110.879839
-135.761091,56,110.9336
-126.695044,38,110.970771
-136.890202,62,111.37303
-127.512846,42,111.412781
-128.63736,68,111.776427
-72.61638,83,111.854373
-133.736773,30,112.328167
-130.608632,102,112.423399
28.338899,201,113.215293
-126.983582,88,113.695748
-124.121868,119,114.312967
-11.20188,201,115.089377
-127.722953,44,115.561489
-133.980173,40,115.606458
-116.770649,82,115.694799
-0.107941,201,116.419106
-133.836751,91,116.927753
-129.952652,57,116.986573
5.85676,201,117.60377
-131.547829,63,117.671625
-137.086948,70,118.124282
-136.756243,74,118.196046
-128.417489,91,118.653735
-119.069211,68,119.194218
-147.689721,98,119.288013
-99.937675,172,120.005193
-20.298732,201,120.745422
-128.136543,201,121.557015
-123.900575,130,122.139132
-58.758408,190,122.777593
-114.196091,97,123.469045
-98.9303,65,123.956941
-116.019713,135,124.64748
2.400843,201,125.359486
-94.351927,140,125.940743
-3.451926,201,126.803941
-137.657907,129,127.329704
-18.780465,201,128.013222
-1.343412,201,128.736754
-126.757305,29,128.764548
-43.733054,201,129.422456
19.063769,201,130.032568
-28.904479,201,130.815544
-33.561868,201,131.499213
-2.693212,201,132.214048
25.243027,201,132.936337
-28.950049,201,133.621994
-50.183985,113,134.225674
-7.61784,201,134.956725
-17.268184,201,135.641163
-129.034369,78,136.246957
-126.815868,61,136.30541
-17.312931,201,137.00794
40.844021,201,137.729845
-125.078357,174,138.526231
-126.029573,81,139.015261
-140.599874,87,139.0964
-139.41735,172,139.753633
-130.702018,37,139.789015
-5.506022,201,140.429578
-132.626597,158,141.187037
-128.592692,32,141.220364
-140.674753,70,141.285873
-123.880879,64,141.727457
5.19018,201,142.394991
-136.747361,165,143.155023
-128.80841,90,143.792175
-7.615543,201,144.558154
-134.916963,81,145.126899
-70.637223,45,145.174531
-133.739092,88,145.628486
7.293788,201,146.328774
-130.488427,30,146.951156
-132.672982,55,147.006225
-133.660812,106,147.54293
-133.254851,33,147.577538
7.607952,201,148.238625
-21.079907,201,148.99472
-131.935192,30,149.024153
-16.62149,201,149.786437
-9.479493,201,150.479073
-2.367441,201,151.196649
-15.334743,201,151.944535
-4.931479,201,152.712787
13.835833,201,153.483527
-130.760789,42,153.526397
12.343156,201,154.157418
-127.892011,25,154.185248
11.020891,201,154.911354
-19.782226,201,155.731513
-0.57435,201,156.452682
-60.112435,73,156.541808
-40.495303,201,157.215855
-12.488281,201,157.859843
-11.450959,201,158.77305
-29.848945,201,159.494967
10.540565,201,160.495215
-128.678911,40,160.538239
11.219919,201,161.30166
-128.528453,128,161.872663
-70.08232,180,162.468322
9.289949,201,163.328678
-52.725701,131,163.880093
-116.524543,109,164.419628
-124.236294,146,164.974302
26.408725,201,165.669229
36.932637,201,166.468883
-132.962726,82,166.955332
-58.933149,66,167.018036
-10.552461,201,167.687291
-132.342866,42,167.72852
-77.856598,88,168.138428
-131.324155,34,168.171868
-144.444332,93,168.573161
-133.967521,42,168.614378
-54.642753,53,168.993977
-6.921987,201,169.712233
-131.196652,130,170.317295
9.548149,201,171.024385
39.577502,201,171.743989
-127.082484,75,172.394163
-128.471488,51,172.443129
-74.388425,69,172.839869
-0.72264,201,173.499289
-123.857927,45,174.053555
25.92489,201,174.744238
38.263701,201,175.612489
-103.282508,131,176.207544
-141.220415,122,176.74999
4.758307,201,177.342609
-130.204966,29,177.918464
27.904667,201,178.606457
19.417603,201,179.413321
-131.291103,35,179.449721
-130.902313,21,179.472586
9.303414,201,180.060856
24.900373,201,180.740816
3.448508,201,181.579651
-115.073378,82,182.046986
-10.929645,201,182.784403
-67.399699,201,183.544062
-82.582601,137,184.198635
14.263642,201,184.817645
8.762987,201,185.633145
-48.409782,100,186.178387
-138.889742,64,186.246452
-68.538142,104,186.699068
-79.785721,116,187.211572
60.550084,201,187.936791
-131.207784,29,187.964396
-120.80993,61,188.021504
-131.378782,48,188.377873
31.09816,201,189.081858
-8.681676,201,189.806875
-131.173904,61,189.864855
-144.540704,76,190.282962
-133.738481,61,190.339678
-111.970004,84,190.759683
-100.110157,102,191.25447
68.018982,201,191.93926
-2.19183,201,192.710067
-126.41354,56,192.763951
-112.240815,174,193.351176
-130.223136,28,193.37792
-146.560578,100,193.836726
-110.377083,45,193.879317
-100.305321,69,194.282294
-130.689048,163,194.995851
-116.836379,156,195.568705
-109.901136,179,196.122728
-61.204097,75,196.852407
-102.451133,184,197.417459
30.864925,201,198.264681
-99.094933,132,198.80062
-112.995154,62,199.280763
-129.200493,30,199.309121
56.070913,201,199.945889
4.574926,201,200.798863
-123.320732,111,201.276351
53.869803,201,201.968964
-117.280279,110,202.682331
-60.448613,140,203.371384
-23.716165,158,204.227684
-121.457651,87,204.312075
28.469238,201,205.000089
-97.991383,102,205.57192
-124.930528,69,205.64013
3.377219,201,206.333655
88.837651,201,206.966621
-130.524495,52,207.559848
-131.280408,79,207.634996
-127.581031,54,208.123158
-119.85062,69,208.19869
47.902107,201,208.923152
-138.511802,74,209.005082
-136.798365,117,209.538151
-131.335074,63,210.130053
-110.68381,47,210.174581
1.886086,201,210.774464
-129.887421,43,210.815849
-130.201552,33,210.847862
-137.584044,91,211.224794
-134.111474,47,211.279735
-102.281806,96,211.795717
-112.659308,46,212.33376
-119.564962,90,212.417274
-137.373337,59,212.926354
-132.542936,58,212.981591
-87.939186,181,213.602936
23.428878,201,214.332482
-108.872381,119,214.881774
3.140583,201,215.622997
41.764701,201,216.342399
-133.193789,90,216.897603
-127.32961,47,216.942537
24.295833,201,217.590389
47.487378,201,218.154027
-129.666198,49,218.766472
-124.143896,52,218.82172
-136.685883,58,219.202026
-130.351324,35,219.238245
-128.586461,145,219.757178
-122.839304,83,220.255419
-130.719429,18,220.27405
-132.540806,129,220.815316
-125.521326,45,220.858042
-132.821741,35,221.220941
-59.515479,200,222.065946
-128.282525,121,222.600421
41.373082,201,223.308729
-102.04094,133,223.955067
-128.131371,79,224.042082
