#{"t_start": 1682011751.0362039, "env_id": null}
r,l,t
-100.679641,10,2.617934
-147.74906,16,2.621665
-106.814837,11,2.624376
-438.906029,100,2.644389
-191.113925,84,2.661778
-147.82939,13,2.664789
-100.195057,10,2.667776
-171.183754,46,2.677346
-169.529734,13,2.680802
-167.147677,22,2.685757
-194.336734,17,2.689445
-101.34647,12,2.692275
-150.162339,24,2.697941
-172.546706,29,2.704112
-186.848451,22,2.711272
-189.582778,52,2.721589
-167.065312,38,2.730176
-102.027332,10,2.732785
-191.017058,61,2.745653
-162.095699,36,2.753425
-336.719285,100,2.774229
-492.267156,148,2.803085
-148.952679,27,2.808749
-119.834711,37,2.816803
-102.16862,10,2.819777
-114.618446,22,2.82475
-148.752939,10,2.827186
-215.397285,34,2.834196
-105.306434,10,2.837333
-177.546013,51,2.848404
-141.085926,25,2.853729
-166.069082,30,2.860052
-320.722927,67,2.874999
-98.06865,18,2.879011
-254.482464,99,2.89888
-122.37188,11,2.901447
-167.825648,23,2.906676
-187.438507,23,2.911769
-171.238285,28,2.917783
-158.500921,38,2.928518
-110.342875,12,2.932054
-225.584525,25,2.937586
-103.858561,22,2.942563
-161.072274,15,2.946134
-402.645125,110,2.969015
-117.522046,11,2.971679
-165.388741,21,2.976411
-169.316985,45,2.985623
-116.584677,36,2.993852
-210.057142,20,2.998392
-104.484082,12,3.001223
-242.497977,36,3.009097
-110.284696,67,3.022939
-100.613199,10,3.025546
-96.886315,15,3.028971
-98.403744,11,3.031564
-97.95633,15,3.035425
-235.629905,44,3.04452
-161.200222,10,3.046982
-99.282125,10,3.04954
-180.049134,27,3.055696
-235.339031,56,3.067326
-216.034684,94,3.08671
-103.519461,12,3.089624
-183.238418,29,3.096353
-224.676165,45,3.105578
-158.052884,10,3.108071
-214.910492,36,3.115363
-150.182852,12,3.118663
-150.72357,12,3.121571
-172.558668,26,3.127141
-98.858399,10,3.129598
-98.375481,11,3.132469
-153.512473,10,3.134938
-156.162612,19,3.139049
-179.76696,35,3.156152
-100.652262,11,3.159412
-159.29199,101,3.180488
-105.013432,10,3.183011
-166.422257,27,3.188791
-103.017231,41,3.197811
-105.430379,36,3.205205
-193.22455,19,3.209445
-147.07849,15,3.212727
-166.761455,35,3.220573
-150.438638,10,3.223072
-103.737716,15,3.226515
-156.059346,13,3.229656
-99.587153,10,3.232396
-101.83216,10,3.234901
-132.024367,37,3.242604
-149.769714,10,3.245176
-99.351729,10,3.248118
-191.229791,35,3.255255
-115.409169,32,3.26188
-106.122274,10,3.264333
-356.124764,72,3.279894
-586.87833,86,3.297515
-156.833569,15,3.30106
-103.337119,11,3.303753
-148.442755,10,3.306736
-97.379154,13,3.30999
-168.008007,70,3.323989
-148.656206,10,3.326547
-98.449467,10,3.329344
-178.372818,67,3.342861
-106.716109,10,3.345278
-393.479612,66,3.358618
-106.392132,29,3.364988
-100.619733,10,3.367556
-113.951496,41,3.378326
-163.233375,25,3.383877
-231.910032,24,3.38938
-169.202966,24,3.394872
-222.36678,32,3.401703
-156.080777,13,3.404779
-165.026996,53,3.416034
-199.900105,36,3.423288
-179.028726,19,3.427785
-245.911879,49,3.438435
-148.770835,12,3.441712
-212.268804,37,3.44956
-97.486061,13,3.452603
-98.231862,11,3.455299
-194.163525,54,3.466714
-100.242447,11,3.470076
-147.755469,24,3.475334
-152.596245,22,3.480184
-396.212924,70,3.495259
-100.445574,10,3.49772
-112.600682,12,3.500693
-119.349156,38,3.508462
-398.587119,84,3.526416
-409.17499,65,3.539871
-297.161131,49,3.550565
-152.241178,19,3.554584
-151.690218,11,3.557496
-102.144041,32,3.563951
-102.27262,13,3.567036
-181.606703,33,3.574014
-159.9615,12,3.577277
-124.782755,47,3.586959
-102.548264,10,3.58954
-167.970198,60,3.604409
-167.877927,37,3.612676
-136.974079,39,3.621028
-108.695012,12,3.624046
-235.764772,62,3.636761
-147.855157,12,3.640052
-197.989567,34,3.646984
-174.348609,47,3.656716
-149.72131,24,3.661986
-103.19146,10,3.664749
-99.266972,10,3.667258
-179.27843,52,3.677857
-98.151692,11,3.680491
-175.562218,23,3.685701
-131.41422,50,3.69582
-121.777179,62,3.708745
-423.013376,76,3.723687
-102.520505,10,3.726535
-220.939073,29,3.732553
-99.312918,11,3.735199
-171.622815,50,3.745317
-101.745806,22,3.750711
-99.140575,10,3.753205
-210.188589,32,3.760248
-156.501348,10,3.762764
-887.173889,138,3.790301
-269.687968,79,3.806506
-180.967897,65,3.822091
-161.975912,33,3.829415
-191.308567,22,3.834676
-505.324709,89,3.853642
-162.805646,22,3.858641
-107.37561,12,3.861517
-135.081393,67,3.876235
-149.513507,10,3.878806
-99.471587,11,3.881492
-300.08694,47,3.891541
-99.742798,10,3.894397
-109.173125,23,3.899468
-177.116419,51,3.909908
-160.513768,15,3.913338
-116.18908,32,3.920389
-149.556106,12,3.923182
-114.107758,10,3.925726
-227.497776,71,3.940385
-173.178777,59,3.952662
-99.609279,10,3.955134
-107.18243,22,3.959981
-183.407772,44,3.969172
-193.178704,33,3.976585
-148.219934,12,3.979594
-158.136274,12,3.982439
-98.097361,11,3.985074
-107.585303,37,3.993229
-160.394656,25,3.998467
-147.984814,13,4.001609
-101.895679,10,4.004171
-150.007413,39,4.012573
-112.536306,10,4.015028
-238.87531,84,4.034494
-151.364311,15,4.038031
-113.770313,12,4.041501
-109.81146,25,4.046978
-103.099392,11,4.04974
-172.243438,76,4.065176
-103.65153,24,4.071073
-134.711843,46,4.080405
-384.200041,123,4.105739
-103.007666,35,4.113437
-153.51625,10,4.116336
-161.451998,10,4.11882
-106.033955,32,4.125374
-130.459539,36,4.132725
-104.976829,10,4.135619
-149.522704,11,4.138347
-155.031683,11,4.141105
-109.17877,45,4.150355
-395.309385,57,4.162367
-126.806866,62,4.175138
-272.932363,51,4.185769
-582.998011,100,4.205929
